clothing_id,review,rating,recommend,validation_result,problem_category
1037,Very nice fabric but disappointed in the stitching on the knees. it looks nice but makes the pants very uncomfortable and tight around the knees. too bad because i love the style and hoped they would work!,3,True,False,4
1037,"These run very small!! they are also short, almost like a crop pant. the fit was so weird that i won't even exchange for a bigger size.",1,False,True,4
1025,"I was excited to see these jeans since they came in petite sizes and had a short inseam... unfortunately after ordering/returning several pairs, i found out that these are actually not petite jeans. please beware that if you are ordering these for the shorter inseam, they are actually 28 in... not 24 in as in the description. other than the inseam issues, they fit like typical paige denim.",1,False,True,5
1033,"I originally got these in a 29 petite and thought they fit great right out of the bag (i'm usually a 6/8).. and within an hour of wearing them (to retailer, actually), the knees had gotten so baggy that they looked absolutely ridiculous; i've never had jeans do this. the salesperson at retailer agreed that they seemed very odd. i exchanged for a 28p at her suggestion, and i just hate them. i'd say the smaller size seems every so slightly small, but nothing major - but the waist actually folds over a",2,False,True,4
1022,"I've been buying stevie ankles for years from retailer and been very happy. the past two pairs i bought had a heavy chemical smell, which i imagine is some kind of starch/chemical to keep the denim stiff. with the first pair, after enough washes to get rid of the bad smell (4), they lost all form and looked terrible since they were washed i couldn't return them. the 2nd pair arrived with the same heavy smell and i returned them. it may be they are made elsewhere now, but it's disappointing.",1,False,True,3
1022,"I ordered these because i loved the wide cut and overall look. but returned them because they fit weird. too tight around the too high waistline (and normally, i like a high waistline). fit ran small. and the overall quality of the fabric wasn't as nice as i was hoping for. pretty disappointed.",1,False,True,4
1033,The color on these are amazing. i am 5'2 and these are really meant for that long lean profile. note they have very little stretch.,3,True,True,4
1035,"I ordered these in my usual size and could barely get them on. they fit ike tight leggings. they have spandex that is comfortable and they will probably stretch as you wear them,. i exchanged for the next size up, because the style is great for year -round and the quality excellent. i live 2 hours from a store, i would either order up at least one size or try them on in store.",3,True,True,1
1033,"I wear a typical 25 in coh jeans and i ordered these in a 25. they fit but they feel more like jeggings than skinny jeans. the wash isn't as faded out as in the picture. and at 5'2"" the rip is right at my kneecap. i bought these for the distressed wash, and will probably return this pair as it looks darker and less faded in person. i look nothing like the model does in this pair of jeans.",3,True,False,5
1033,"I was extremely excited to receive these pants, given the two positive reviews. i'm a petite woman and have trouble finding jeans with the right proportions. i sized down from my normal size (27 to a 26) and was swimming in these pants. i would have had to go down three sizes to make these work. i'm not sure if i received a defective pair or what, but be cautious ordering these pants.",1,False,True,1
1030,I liked the cut and color. seemed like good quality. i'm 5'5 and theses were so long. i had to fold them up like 6 inches not to step in them,3,True,True,4
1022,"I wanted to love these jeans, but as a woman who is almost 45 there was way too much stretch in them. i am always a size 26 and i couldn't wear these, they were way too tight! they went back the next day. i will say, it could be my body type, i""m a runner so my legs are muscular. if you have very thin legs, these could be great and work for you. i loved the color, dark blue.",2,False,True,4
1033,"I bought these on sale and they quickly went back. i was very disappointed after reading the reviews. i thought for sure these would be a winner. however, i was sadly mistaken. i ordered another pair of jeans, the same, from a different brand. these were way too small while my others were too large. they didn't live up to my expectation and were still rather long. even though i bought these on sale, i was not happy with the quality.",1,False,True,1
1035,"I agree with the other reviewer: the snaps at the ankle are a cute idea, but bad in execution. they look and feel odd when on.
----------
these fit tts, and they are soft with decent stretch. but the rise is much lower on me than other 8.5"" rise jeans i have; as a 43 year-old woman they seemed inappropriately low-hanging on me.
----------
as an aside, these will def. color transfer - there is a whole lotta rinse on these. and they have a strange chemical smell to them; not sure if that will diss",2,True,False,4
1033,"I love the way these jeans look and fit, but they have a chemical smell. i assumed the odor would go away after i washed them, but it doesn't seem to have helped.",2,False,True,3
1030,"I'm normally a size 25p. i bought these in a 26 because i wanted a more relaxed fit. i could barely pull them up over my calves. i could get them on and button them, but i felt like a sausage stuffed into a straw. size up 2 sizes at least!",2,False,True,4
1030,Love the wear of these jeans but they run small! designed holes have grown much larger-i don't dryer dry them.,3,True,False,2
